experiment,plate,well,sirna,y
HEPG2-01,1,L15,598,312
HEPG2-01,1,L16,1104,938
HEPG2-01,1,L17,557,312
HEPG2-01,1,L18,742,312
HEPG2-01,1,L19,703,734
HEPG2-01,1,L20,1015,938
HEPG2-01,1,L21,360,938
HEPG2-01,1,L22,40,312
HEPG2-01,1,L23,339,938
HEPG2-01,1,M02,238,312
HEPG2-01,1,M04,687,312
HEPG2-01,1,M05,1102,312
HEPG2-01,1,M06,346,312
HEPG2-01,1,M08,147,312
HEPG2-01,1,M09,613,312
HEPG2-01,1,M10,277,312
HEPG2-01,1,M12,704,312
HEPG2-01,1,M13,497,312
HEPG2-01,1,M14,1,312
HEPG2-01,1,M16,33,312
HEPG2-01,1,M17,352,734
HEPG2-01,1,M18,972,312
HEPG2-01,1,M20,647,938
HEPG2-01,1,M21,715,312
HEPG2-01,1,M23,974,938
HEPG2-01,1,N02,221,938
HEPG2-01,1,N03,482,312
HEPG2-01,1,N04,793,312
HEPG2-01,1,N05,705,734
HEPG2-01,1,N06,572,938
HEPG2-01,1,N07,296,312
HEPG2-01,1,N08,109,312
HEPG2-01,1,N09,981,312
HEPG2-01,1,N10,500,938
HEPG2-01,1,N11,982,312
HEPG2-01,1,N12,962,312
HEPG2-01,1,N13,986,938
HEPG2-01,1,N14,471,312
HEPG2-01,1,N15,514,312
HEPG2-01,1,N16,439,312
HEPG2-01,1,N17,293,938
HEPG2-01,1,N18,158,312
HEPG2-01,1,N19,983,938
HEPG2-01,1,N20,831,312
HEPG2-01,1,N21,875,938
HEPG2-01,1,N22,302,734
HEPG2-01,1,N23,618,312
HEPG2-01,1,O02,620,312
HEPG2-01,1,O03,657,312
HEPG2-01,1,O04,505,312
HEPG2-01,1,O05,1066,938
HEPG2-01,1,O06,136,312
HEPG2-01,1,O07,395,312
HEPG2-01,1,O08,341,312
HEPG2-01,1,O09,313,938
HEPG2-01,1,O10,585,312
HEPG2-01,1,O11,588,312
HEPG2-01,1,O12,55,312
HEPG2-01,1,O13,361,312
HEPG2-01,1,O14,373,312
HEPG2-01,1,O15,445,312
HEPG2-01,1,O16,324,312
HEPG2-01,1,O17,308,734
HEPG2-01,1,O19,743,312
HEPG2-01,1,O20,622,734
HEPG2-01,1,O21,266,938
HEPG2-01,1,O22,770,938
HEPG2-01,1,O23,607,938
