experiment,plate,well,sirna,y
HEPG2-01,1,E11,577,350
HEPG2-01,1,E12,345,350
HEPG2-01,1,E13,784,350
HEPG2-01,1,E14,894,505
HEPG2-01,1,E15,385,350
HEPG2-01,1,E16,1028,350
HEPG2-01,1,E17,8,505
HEPG2-01,1,E18,552,350
HEPG2-01,1,E19,695,505
HEPG2-01,1,E20,459,505
HEPG2-01,1,E21,581,350
HEPG2-01,1,E22,1060,505
HEPG2-01,1,E23,355,505
HEPG2-01,1,F02,900,350
HEPG2-01,1,F04,340,350
HEPG2-01,1,F05,486,350
HEPG2-01,1,F06,907,350
HEPG2-01,1,F08,391,350
HEPG2-01,1,F09,838,884
HEPG2-01,1,F10,523,350
HEPG2-01,1,F12,1084,350
HEPG2-01,1,F13,1089,350
HEPG2-01,1,F14,670,350
HEPG2-01,1,F16,450,350
HEPG2-01,1,F17,389,350
HEPG2-01,1,F18,379,350
HEPG2-01,1,F20,239,350
HEPG2-01,1,F21,604,350
HEPG2-01,1,F23,155,350
HEPG2-01,1,G02,5,350
HEPG2-01,1,G03,48,350
HEPG2-01,1,G04,1062,350
HEPG2-01,1,G05,884,505
HEPG2-01,1,G06,825,350
HEPG2-01,1,G07,798,350
HEPG2-01,1,G08,914,350
HEPG2-01,1,G09,1025,350
HEPG2-01,1,G10,624,350
HEPG2-01,1,G11,939,350
HEPG2-01,1,G12,938,350
HEPG2-01,1,G13,88,350
HEPG2-01,1,G14,1096,350
HEPG2-01,1,G15,46,350
HEPG2-01,1,G16,417,505
HEPG2-01,1,G17,910,350
HEPG2-01,1,G18,268,505
HEPG2-01,1,G19,744,505
HEPG2-01,1,G20,1006,350
HEPG2-01,1,G21,606,505
HEPG2-01,1,G22,172,350
HEPG2-01,1,G23,506,350
HEPG2-01,1,H02,760,350
HEPG2-01,1,H04,1013,350
HEPG2-01,1,H05,77,350
HEPG2-01,1,H06,1101,350
HEPG2-01,1,H08,56,350
HEPG2-01,1,H09,699,350
HEPG2-01,1,H10,1065,350
HEPG2-01,1,H12,847,505
HEPG2-01,1,H13,348,350
HEPG2-01,1,H14,1008,350
HEPG2-01,1,H16,845,350
HEPG2-01,1,H17,102,350
HEPG2-01,1,H18,3,350
HEPG2-01,1,H20,543,350
HEPG2-01,1,H21,734,350
HEPG2-01,1,H23,897,350
HEPG2-01,1,I02,626,350
HEPG2-01,1,I03,192,350
HEPG2-01,1,I04,112,350
HEPG2-01,1,I05,489,350
HEPG2-01,1,I06,1027,350
HEPG2-01,1,I07,195,350
HEPG2-01,1,I08,868,350
HEPG2-01,1,I09,59,350
HEPG2-01,1,I10,689,350
HEPG2-01,1,I11,126,350
HEPG2-01,1,I12,26,350
HEPG2-01,1,I13,1039,350
HEPG2-01,1,I14,295,350
HEPG2-01,1,I15,258,350
HEPG2-01,1,I16,301,350
HEPG2-01,1,I17,891,350
HEPG2-01,1,I18,372,350
HEPG2-01,1,I19,566,350
HEPG2-01,1,I20,764,350
HEPG2-01,1,I21,133,505
HEPG2-01,1,I22,890,350
HEPG2-01,1,I23,806,884
HEPG2-01,1,J02,309,350
HEPG2-01,1,J04,811,350
HEPG2-01,1,J05,1106,350
HEPG2-01,1,J06,105,350
HEPG2-01,1,J08,810,350
HEPG2-01,1,J09,532,350
HEPG2-01,1,J10,1076,350
HEPG2-01,1,J12,676,350
HEPG2-01,1,J13,889,350
HEPG2-01,1,J14,388,350
HEPG2-01,1,J16,94,350
HEPG2-01,1,J17,287,350
HEPG2-01,1,J18,605,350
HEPG2-01,1,J20,411,350
HEPG2-01,1,J21,431,505
HEPG2-01,1,J23,565,350
HEPG2-01,1,K02,881,350
HEPG2-01,1,K03,256,350
HEPG2-01,1,K04,281,350
HEPG2-01,1,K05,181,350
HEPG2-01,1,K06,582,350
HEPG2-01,1,K07,559,350
HEPG2-01,1,K08,853,350
HEPG2-01,1,K09,797,350
HEPG2-01,1,K10,1041,350
HEPG2-01,1,K11,224,350
HEPG2-01,1,K12,765,350
HEPG2-01,1,K13,481,505
HEPG2-01,1,K14,89,505
HEPG2-01,1,K15,366,350
HEPG2-01,1,K16,945,350
HEPG2-01,1,K17,242,350
HEPG2-01,1,K18,692,505
HEPG2-01,1,K19,399,884
HEPG2-01,1,K20,660,350
HEPG2-01,1,K21,541,350
HEPG2-01,1,K22,320,350
HEPG2-01,1,K23,398,350
HEPG2-01,1,L02,673,505
HEPG2-01,1,L03,508,350
HEPG2-01,1,L04,877,350
HEPG2-01,1,L05,222,350
HEPG2-01,1,L06,1067,350
HEPG2-01,1,L07,392,350
HEPG2-01,1,L08,312,350
HEPG2-01,1,L09,442,350
HEPG2-01,1,L10,556,505
HEPG2-01,1,L11,959,884
HEPG2-01,1,L12,775,350
HEPG2-01,1,L13,786,505
HEPG2-01,1,L14,274,350
HEPG2-01,1,L15,598,350
HEPG2-01,1,L16,1104,350
HEPG2-01,1,L17,557,350
HEPG2-01,1,L18,742,350
HEPG2-01,1,L19,703,505
HEPG2-01,1,L20,1015,505
HEPG2-01,1,L21,360,350
HEPG2-01,1,L22,40,350
HEPG2-01,1,L23,339,350
HEPG2-01,1,M02,238,350
HEPG2-01,1,M04,687,350
HEPG2-01,1,M05,1102,350
HEPG2-01,1,M06,346,350
HEPG2-01,1,M08,147,613
HEPG2-01,1,M09,613,350
HEPG2-01,1,M10,277,350
HEPG2-01,1,M12,704,350
HEPG2-01,1,M13,497,350
HEPG2-01,1,M14,1,350
HEPG2-01,1,M16,33,350
HEPG2-01,1,M17,352,505
HEPG2-01,1,M18,972,350
HEPG2-01,1,M20,647,622
HEPG2-01,1,M21,715,505
HEPG2-01,1,M23,974,505
HEPG2-01,1,N02,221,350
HEPG2-01,1,N03,482,350
HEPG2-01,1,N04,793,350
HEPG2-01,1,N05,705,505
HEPG2-01,1,N06,572,350
HEPG2-01,1,N07,296,350
HEPG2-01,1,N08,109,350
HEPG2-01,1,N09,981,350
HEPG2-01,1,N10,500,350
HEPG2-01,1,N11,982,350
HEPG2-01,1,N12,962,350
HEPG2-01,1,N13,986,884
HEPG2-01,1,N14,471,350
HEPG2-01,1,N15,514,350
HEPG2-01,1,N16,439,350
HEPG2-01,1,N17,293,350
HEPG2-01,1,N18,158,350
HEPG2-01,1,N19,983,350
HEPG2-01,1,N20,831,350
HEPG2-01,1,N21,875,350
HEPG2-01,1,N22,302,505
HEPG2-01,1,N23,618,350
HEPG2-01,1,O02,620,350
HEPG2-01,1,O03,657,350
HEPG2-01,1,O04,505,350
HEPG2-01,1,O05,1066,350
HEPG2-01,1,O06,136,613
HEPG2-01,1,O07,395,350
HEPG2-01,1,O08,341,350
HEPG2-01,1,O09,313,350
HEPG2-01,1,O10,585,350
HEPG2-01,1,O11,588,884
HEPG2-01,1,O12,55,350
HEPG2-01,1,O13,361,350
HEPG2-01,1,O14,373,350
HEPG2-01,1,O15,445,350
HEPG2-01,1,O16,324,350
HEPG2-01,1,O17,308,350
HEPG2-01,1,O19,743,350
HEPG2-01,1,O20,622,505
HEPG2-01,1,O21,266,622
HEPG2-01,1,O22,770,505
HEPG2-01,1,O23,607,505
