experiment,plate,well,sirna,y
HEPG2-01,1,K16,945,505
HEPG2-01,1,K17,242,505
HEPG2-01,1,K18,692,505
HEPG2-01,1,K19,399,505
HEPG2-01,1,K20,660,505
HEPG2-01,1,K21,541,505
HEPG2-01,1,K22,320,505
HEPG2-01,1,K23,398,505
HEPG2-01,1,L02,673,505
HEPG2-01,1,L03,508,505
HEPG2-01,1,L04,877,505
HEPG2-01,1,L05,222,505
HEPG2-01,1,L06,1067,505
HEPG2-01,1,L07,392,505
HEPG2-01,1,L08,312,505
HEPG2-01,1,L09,442,505
HEPG2-01,1,L10,556,505
HEPG2-01,1,L11,959,505
HEPG2-01,1,L12,775,505
HEPG2-01,1,L13,786,505
HEPG2-01,1,L14,274,505
HEPG2-01,1,L15,598,505
HEPG2-01,1,L16,1104,505
HEPG2-01,1,L17,557,505
HEPG2-01,1,L18,742,505
HEPG2-01,1,L19,703,505
HEPG2-01,1,L20,1015,505
HEPG2-01,1,L21,360,505
HEPG2-01,1,L22,40,505
HEPG2-01,1,L23,339,505
HEPG2-01,1,M02,238,505
HEPG2-01,1,M04,687,505
HEPG2-01,1,M05,1102,505
HEPG2-01,1,M06,346,505
HEPG2-01,1,M08,147,505
HEPG2-01,1,M09,613,505
HEPG2-01,1,M10,277,505
HEPG2-01,1,M12,704,505
HEPG2-01,1,M13,497,505
HEPG2-01,1,M14,1,505
HEPG2-01,1,M16,33,505
HEPG2-01,1,M17,352,505
HEPG2-01,1,M18,972,505
HEPG2-01,1,M20,647,505
HEPG2-01,1,M21,715,505
HEPG2-01,1,M23,974,505
HEPG2-01,1,N02,221,505
HEPG2-01,1,N03,482,505
HEPG2-01,1,N04,793,505
HEPG2-01,1,N05,705,505
HEPG2-01,1,N06,572,505
HEPG2-01,1,N07,296,505
HEPG2-01,1,N08,109,505
HEPG2-01,1,N09,981,505
HEPG2-01,1,N10,500,505
HEPG2-01,1,N11,982,505
HEPG2-01,1,N12,962,505
HEPG2-01,1,N13,986,505
HEPG2-01,1,N14,471,505
HEPG2-01,1,N15,514,505
HEPG2-01,1,N16,439,505
HEPG2-01,1,N17,293,505
HEPG2-01,1,N18,158,505
HEPG2-01,1,N19,983,505
HEPG2-01,1,N20,831,505
HEPG2-01,1,N21,875,505
HEPG2-01,1,N22,302,505
HEPG2-01,1,N23,618,505
HEPG2-01,1,O02,620,505
HEPG2-01,1,O03,657,505
HEPG2-01,1,O04,505,505
HEPG2-01,1,O05,1066,505
HEPG2-01,1,O06,136,505
HEPG2-01,1,O07,395,505
HEPG2-01,1,O08,341,505
HEPG2-01,1,O09,313,505
HEPG2-01,1,O10,585,505
HEPG2-01,1,O11,588,505
HEPG2-01,1,O12,55,505
HEPG2-01,1,O13,361,505
HEPG2-01,1,O14,373,505
HEPG2-01,1,O15,445,505
HEPG2-01,1,O16,324,505
HEPG2-01,1,O17,308,505
HEPG2-01,1,O19,743,505
HEPG2-01,1,O20,622,505
HEPG2-01,1,O21,266,505
HEPG2-01,1,O22,770,505
HEPG2-01,1,O23,607,505
